NCTId,Histology,CUI
NCT00317200,Adenocarcinoma,C0001418
NCT00317201,Squamous Cell Carcinoma,C0349656
NCT00317202,Large Cell Neuroendocrine Carcinoma of Lung,C1265996
NCT00317203,Carcinoid Tumor,C0007095
NCT00317204,Adenosquamous Carcinoma,C0206623
NCT01079481,Small Cell Lung Cancer,C0149925
NCT00807573,Non Small Cell Lung Cancer,C0007131
NCT00806286,Non-small Cell Lung Cancer,C0007131
NCT00268970,Non small Cell Lung Cancer,C0007131
NCT00317200,Small Cell Lung Cancer,C0149925
NCT00005646,NULL,
NCT00062010,Small Cell Lung Cancer,C0149925
NCT01057342,Small Cell Lung Cancer,C0149925
NCT00062179,Non Small Cell Lung Cancer,C0007131
NCT00687817,Non Small Cell Lung Cancer,C0007131
NCT01011075,Non-small Cell Lung Cancer,C0007131
NCT00540514,Non Small Cell Lung Cancer,C0007131
NCT00970580,Non Small Cell Lung Cancer,C0007131
NCT00005059,Non-small Cell Lung Cancer,C0007131
NCT00453167,NULL,
NCT00003281,Small Cell Lung Cancer,C0149925
NCT02733250,Non Small Cell Lung Cancer,C0007131
NCT01171170,Non-Small Cell Lung Cancer,C0007131
NCT00753909,Non Small Cell Lung Cancer,C0007131
NCT00004055,NULL,
NCT00062062,Non Small Cell Lung Cancer,C0007131
NCT00832819,Non-small Cell Lung Cancer,C0007131
NCT01310244,Non-Small Cell Lung Cancer,C0007131
NCT00243867,Carboplatin Treatment for Advanced Lung Cancer,
NCT00243867,NULL,
NCT01814163,NULL,
NCT00666692,Non small Cell Lung Cancer,C0007131
NCT01024062,Non Small Cell Lung Cancer,C0007131
NCT02525653,Squamous cell carcinoma,C0349656
NCT00654758,Non Small Cell Lung Cancer,C0007131
NCT01196234,Non-small Cell Lung Cancer,C0007131
NCT01160601,Non Small Cell Lung Cancer,C0007131
NCT00735696,Non-small Cell Lung Cancer,C0007131
NCT01763671,Adenocarcinoma,C0001418
NCT02551432,Small Cell Lung Cancer,C0149925
NCT00005032,Small Cell Lung Cancer,C0149925
NCT00487669,Non small Cell Lung Cancer,C0007131
NCT00003299,NULL,
NCT00077246,NULL,
NCT02730247,Non-small Cell Lung Cancer,C0007131
NCT00278148,NULL,
NCT00004126,Non-small Cell Lung Cancer,C0007131
NCT00005849,Non-small Cell Lung Cancer,C0007131
NCT00583830,Non small Cell Lung Cancer,C0007131
NCT01836679,Non-small Cell Lung Cancer,C0007131
NCT00661193,Non Small Cell Lung Cancer,C0007131
NCT00686322,Non small cell Lung Cancer,C0007131
NCT01199055,Non-small Cell Lung Cancer,C0007131
NCT00752115,Non small Cell Lung Cancer,C0007131
NCT00918203,Non Small Cell Lung Cancer,C0007131
NCT01757288,NULL,
NCT00016315,Non Small Cell Lung Cancer,C0007131
NCT00245154,Non Small Cell Lung Cancer,C0007131
NCT00097227,Non Small Cell Lung Cancer,C0007131
NCT00004924,Non-small Cell Lung Cancer,C0007131
NCT02106546,Squamous Non Small Cell Lung Cancer,C4509816
NCT00795340,Non Small Cell Lung Cancer,C0007131
NCT02503358,Non-small Cell Lung Cancer,C0007131
NCT02279732,Squamous cell carcinoma,C0349656
NCT01285609,Squamous cell carcinoma,C0349656
NCT00986674,Non Small Cell Lung Cancer,C0007131
NCT00723957,Non-small Cell Lung Cancer,C0007131
NCT00006229,Non-small Cell Lung Cancer,C0007131
NCT00866528,Non small Cell Lung Cancer,C0007131
NCT01560104,Non-small Cell Lung Cancer,C0007131
NCT00088556,Non Small Cell Lung Cancer,C0007131
NCT00602797,Non Small Cell Lung Cancer,C0007131
NCT00094835,Non Small Cell Lung Cancer,C0007131
NCT00578149,Non Small Cell Lung Cancer,C0007131
NCT01702844,NULL,
NCT01364012,Non-Small Cell Lung Cancer,C0007131
NCT00533585,Non Small Cell Lung Cancer,C0007131
NCT02038647,Small Cell Lung Cancer,C0149925
NCT00481078,Non Small Cell Lung Cancer,C0007131
NCT01165216,Non-small cell lung cancer,C0007131
NCT00680940,Non Small Cell Lung Cancer,C0007131
NCT02367794,Squamous cell carcinoma,C0349656
NCT02250326,NULL,
NCT00002519,NULL,
NCT00017407,Non Small Cell Lung Cancer,C0007131
NCT00642759,Non Small Cell Lung Cancer,C0007131
NCT00025389,Non Small Cell Lung Cancer,C0007131
NCT02264990,Non-Small Cell Lung Cancer,C0007131
NCT00152477,Lung Cancer,C0242379
NCT00006929,Non-small Cell Lung Cancer,C0007131
NCT00093756,Non Small Cell Lung Cancer,C0007131
NCT00603538,Adenocarcinoma,C0001418
NCT00603538,Squamous cell carcinoma,C0349656
NCT00603538,large cell,C0334248
NCT01236716,Squamous cell carcinoma,C0349656
NCT00347412,NULL,
NCT00073723,NULL,
NCT04672928,Small Cell Lung Cancer,C0149925
NCT00991796,Non small Cell Lung Cancer,C0007131
NCT00408460,Non Small Cell Lung Cancer,C0007131
NCT00343291,Adenocarcinoma,C0001418
NCT00343291,Squamous cell carcinoma,C0349656
NCT00343291,Large Cell,C0334248
NCT00343291,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00343291,Carcinoid Tumor,C0007095
NCT00343291,Adenosquamous carcinoma,C0206623
NCT00343291,spindle cell,C0349656
NCT01519804,Squamous cell carcinoma,C0349656
NCT00708812,Non-small Cell Lung Cancer,C0007131
NCT00318136,Squamous cell carcinoma,C0349656
NCT00002969,Non small Cell Lung Cancer,C0007131
NCT00034541,Non Small Cell Lung Cancer,C0007131
NCT00276588,Non Small Cell Lung Cancer,C0007131
NCT00003387,Non-small Cell Lung Cancer,C0007131
NCT03169335,Squamous cell carcinoma,C0349656
NCT00674102,Non Small Cell Lung Cancer,C0007131
NCT01317615,Large Cell,C0206704
NCT00729612,Non Small Cell Lung Cancer,C0007131
NCT00553462,Non Small Cell Lung Cancer,C0007131
NCT00510445,Non Small Cell Lung Cancer,C0007131
NCT00002972,Lung Cancer,C0242379
NCT00527735,Non Small Cell Lung Cancer,C0007131
NCT00527735,Small Cell Lung Cancer,C0149925
NCT00280150,Non Small Cell Lung Cancer,C0007131
NCT01225302,Non Small Cell Lung Cancer,C0007131
NCT01649947,Non small Cell Lung Cancer,C0007131
NCT02392507,Squamous cell carcinoma,C0349656
NCT00006469,Non Small Cell Lung Cancer,C0007131
NCT01763645,Non Small Cell Lung Cancer,C0007131
NCT00193362,Non Small Cell Lung Cancer,C0007131
NCT02309177,Adenocarcinoma,C0001418
NCT02309177,Non Small Cell Lung Cancer,C0007131
NCT02309177,Recurrent Metastatic Breast Cancer,
NCT02328105,Non-Small Cell Lung Cancer,C0007131
NCT00079287,Non Small Cell Lung Cancer,C0007131
NCT00003117,Non-small Cell Lung Cancer,C0007131
NCT01620190,Non small Cell Lung Cancer,C0007131
NCT01493843,Non-small Cell Lung Cancer,C0007131
NCT00147537,Adenocarcinoma,C0001418
NCT00147537,Squamous cell carcinoma,C0349656
NCT00147537,carcinoma,C0007097
NCT00147537,Large Cell,C0334248
NCT00147537,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00147537,Carcinoid Tumor,C0007095
NCT00147537,Adenosquamous carcinoma,C0206623
NCT00147537,spindle cell,C0349656
NCT00287989,Non Small Cell Lung Cancer,C0007131
NCT00085501,Non Small Cell Lung Cancer,C0007131
NCT00178256,NULL,
NCT00003317,NULL,
NCT00023673,Non Small Cell Lung Cancer,C0007131
NCT00096226,Non Small Cell Lung Cancer,C0007131
NCT00050960,NULL,
NCT00600821,Adenocarcinoma,C0001418
NCT00600821,Squamous cell carcinoma,C0349656
NCT00600821,large cell,C0334248
NCT00653939,Non Small Cell Lung Cancer,C0007131
NCT00974584,Non Small Cell Lung Cancer,C0007131
NCT00368992,Non Small Cell Lung Cancer,C0007131
NCT01820754,Non Small Cell Lung Cancer,C0007131
NCT00226590,NULL,
NCT01069328,Non-small Cell Lung Cancer,C0007131
NCT00387374,NULL,
NCT01540045,NULL,
NCT01234038,NULL,
NCT01769391,Squamous cell carcinoma,C0349656
NCT00716534,Non Small Cell Lung Cancer,C0007131
NCT00874107,Non Small Cell Lung Cancer,C0007131
NCT00457119,Non small cell Lung Cancer,C0007131
NCT00020007,NULL,
NCT01048645,Non-small Cell Lung Cancer,C0007131
NCT03092986,NULL,
NCT00861627,NULL,
NCT00534027,Non Small Cell Lung Cancer,C0007131
NCT00034346,Non Small Cell Lung Cancer,C0007131
NCT00533949,Non Small Cell Lung Cancer,C0007131
NCT02027428,Squamous cell carcinoma,C0349656
NCT03594747,NULL,
NCT00088088,Non Small Cell Lung Cancer,C0007131
NCT00004160,NULL,
NCT00001499,NULL,
NCT00274443,Non-Small Cell Lung Cancer,C0007131
NCT02172846,Non Small Cell Lung Cancer,C0007131
NCT02429843,Non Squamous Cell Lung Cancer,
NCT00948675,NULL,
NCT03296163,Squamous cell carcinoma,C0349656
NCT02367781,Non-Small Cell Lung Cancer,C0007131
NCT00655850,Non-Small Cell Lung Cancer,C0007131
NCT01494558,Non Small Cell Lung Cancer,C0007131
NCT00087802,Non Small Cell Lung Cancer,C0007131
NCT01023347,Non Small Cell Lung Cancer,C0007131
NCT00495170,Non Small Cell Lung Cancer,C0007131
NCT01100931,Non Small Cell Lung Carcinoma,C0007131
NCT00004979,Non-small Cell Lung Cancer,C0007131
