NCTId,PD-L1,CUI
NCT00317200,PD-L1_Negative,C4054670
NCT00317201,PD-L1_Positive,C4284303
NCT00317202,Lack of Expression of PD-L1,C4054670
NCT00317203,NULL,
NCT01079481,NULL,
NCT00807573,NULL,
NCT00806286,NULL,
NCT00268970,NULL,
NCT00317200,NULL,
NCT00005646,NULL,
NCT00062010,NULL,
NCT01057342,NULL,
NCT00062179,NULL,
NCT00687817,NULL,
NCT01011075,NULL,
NCT00540514,NULL,
NCT00970580,NULL,
NCT00005059,NULL,
NCT00453167,NULL,
NCT00003281,NULL,
NCT02733250,PD-L1_Negative,C4054670
NCT01171170,NULL,
NCT00753909,NULL,
NCT00004055,NULL,
NCT00062062,NULL,
NCT00832819,NULL,
NCT01310244,NULL,
NCT00243867,NULL,
NCT01814163,NULL,
NCT00666692,NULL,
NCT01024062,NULL,
NCT02525653,NULL,
NCT00654758,NULL,
NCT01196234,NULL,
NCT01160601,NULL,
NCT00735696,NULL,
NCT01763671,NULL,
NCT02551432,PD-L1_Negative,C4054670
NCT00005032,NULL,
NCT00487669,NULL,
NCT00003299,NULL,
NCT00077246,NULL,
NCT02730247,NULL,
NCT00278148,NULL,
NCT00004126,NULL,
NCT00005849,NULL,
NCT00583830,NULL,
NCT01836679,NULL,
NCT00661193,NULL,
NCT00686322,NULL,
NCT01199055,NULL,
NCT00752115,NULL,
NCT00918203,NULL,
NCT01757288,NULL,
NCT00016315,NULL,
NCT00245154,NULL,
NCT00097227,NULL,
NCT00004924,NULL,
NCT02106546,NULL,
NCT00795340,NULL,
NCT02503358,NULL,
NCT02279732,NULL,
NCT01285609,NULL,
NCT00986674,NULL,
NCT00723957,NULL,
NCT00006229,NULL,
NCT00866528,NULL,
NCT01560104,NULL,
NCT00088556,NULL,
NCT00602797,NULL,
NCT00094835,NULL,
NCT00578149,NULL,
NCT01702844,NULL,
NCT01364012,NULL,
NCT00533585,NULL,
NCT02038647,NULL,
NCT00481078,NULL,
NCT01165216,NULL,
NCT00680940,NULL,
NCT02367794,PD-L1_Negative,C4054670
NCT02250326,PD-L1_Positive,C4284303
NCT00002519,NULL,
