NCTId,BriefTitle,BriefSummary,DetailedDescription,OverallStatus,Gender,MinimumAge,MaximumAge,Keyword,PrimaryOutcomeTimeFrame,DesignAllocation,DesignInterventionModel,DesignPrimaryPurpose,Condition,InterventionName
NCT01079481,Combination Anticancer Therapy of Paclitaxel and Everolimus for Relapsed or Refractory Small Cell Lung Cancer,The objective of this phase I study is to determine the maximum tolerated dose (MTD) of combination therapy of paclitaxel and everolimus in small cell lung cancer patient with previous treatment history.,"Small cell lung cancer (SCLC) accounts for 15% to 20% of all lung cancer, and more than half of these patients are diagnosed with extensive stage disease (ED). SCLC is a particularly aggressive form of lung cancer with a tendency for rapid tumor growth, early dissemination and high frequency of the metastasis In this study, we evaluate the MTD of everolimus combined with paclitaxel combination chemotherapy in SCLC.",Completed,All,18 Years,,"Relapsed or Refractory Small Cell Lung Cancer, Paclitaxel, Everolimus",18 months,,Single Group Assignment,Treatment,Small Cell Lung Cancer,taxol plus everolimus
NCT00807573,"Paclitaxel, Bevacizumab and Pemetrexed in Patients With Untreated, Advanced Non Small Cell Lung Cancer Using Web Based Data Collection, Patient Self Reporting of Adverse Effects and Automated Response Assessment","The purpose of this study is to determine the percentage of patients with non small cell lung cancer that will experience a shrinkage of their tumors following treatment with three medications given together: paclitaxel, pemetrexed (Alimta®), and bevacizumab (Avastin®). Each of these medications has been approved by the FDA for patients that have not received any treatment for their lung cancer. This study is designed to study the effects of all three drugs given at the same time. Each of these medications has been studied in lung cancer and is commercially available. Paclitaxel and pemetrexed are traditional chemotherapy drugs. Bevacizumab is a monoclonal antibody, which means that it attaches to a specific target. Bevacizumab attaches to a protein in the blood stream called Vascular Endothelial GrowthFactor (VEGF). VEGF helps tumors grow new blood vessels to feed themselves, and bevacizumab is thought to help block this new growth of blood vessels and starve the tumors of the nutrients they need.","In this clinical trial, we also will be studying other things. We want to learn more about how to manage side effects patients may develop during chemotherapy. Cancer patients may develop side effects during treatment, such as nausea, pain, fatigue, diarrhea, constipation, or shortness of breath. These symptoms may be due to the cancer itself, or due to treatments like chemotherapy drugs or radiation therapy. Doctors and nurses often ask patients about their symptoms, because an important part of cancer treatment is to make patients feel as well as possible. If patients do not feel well, we may need to change the way we are treating them or prescribe therapies that will decrease their symptoms. The best way to find out how the patient is feeling is to ask them directly. We are interested in developing new ways to ask patients about how they are feeling, using the Internet. A special new website called STAR (Symptom Tracking and Reporting for Patients) has been developed to help patients record this information, so that their doctors and nurses can review it during clinic appointments. This study is designed to help us see if STAR is a helpful way for us to keep track of information about patients\ symptoms and quality of life. As part of this study, a computerized (automated) technique of determining the size of the patients tumor(s) before and after treatment will be used. This has been tested in the past and found to be more accurate. The automated technique of determining tumor size will be used with the routine CT scans that the patient will have as part of the study. This automated method of measuring the tumor(s) will allow us to know sooner whether this drug treatment is causing the disease to shrink. The information from STAR and the automated tumor measurements are going to be placed on a very secure Internet site. This will provide the doctor with all of the information needed to determine if this drug combination is working for the patient and whether to continue this study. Also, if there is a tumor sample from a biopsy done in the past, it will be analyzed for a protein that may be present in the lung cancer.",Completed,All,18 Years,,"BEVACIZUMAB (AVASTIN), PEMETREXED (ALTIMA), TAXOL (PACLITAXEL), 08 109",2 years,,Single Group Assignment,Treatment,Lung Cancer,"Paclitaxel, Pemetrexed, Bevacizumab"
NCT00806286,"Study of Carboplatin,Paclitaxel With or Without Investigational Drug (CS 7017) in Subjects With Metastatic Non small Cell Lung Cancer","The study has a safety and a Phase 2 portion. In the safety portion of the study, subjects with metastatic non small cell lung cancer will be treated with study drug (CS 7017) in combination with carboplatin and paclitaxel to evaluate safety. In the Phase 2 portion of the study, subjects will receive study drug (CS 7017) or placebo in combination with carboplatin and paclitaxel to evaluate effectiveness and safety. The study will find out if adding CS 7017 to carboplatin and paclitaxel will be safe and improve progression free survival in subjects with metastatic non small cell lung cancer.",,Completed,All,18 Years,,,"18 weeks postdose, 18 weeks postdose",Randomized,Parallel Assignment,Treatment,Metastatic Non small Cell Lung Cancer,"CS7017 tablets, Paclitaxel, Carboplatin, Placebo Tablets"
NCT00268970,Satraplatin and Paclitaxel in Patients With Advanced Non small Cell Lung Cancer,The purpose of this trial is to study the combination regimen of satraplatin and paclitaxel in the first line treatment of patients with advanced non small cell lung cancer (NSCLC).,"This trial is designed to study the efficacy and safety of a novel oral platinum analog, satraplatin, in combination with another chemotherapy drug, paclitaxel, for the first line of treatment (patients who have not received chemotherapy for disease that has metastasized) of patients with advanced NSCLC. WHAT IS SATRAPLATIN: Satraplatin is a member of the platinum based class of chemotherapy drugs. Platinum based drugs have been clinically proven to be one of the most effective classes of anticancer therapies. Unlike the currently marketed platinum based drugs, satraplatin can be given orally.",Completed,All,18 Years,,Advanced non small cell lung cancer (NSCLC),3 months,Non Randomized,Single Group Assignment,Treatment,Non small Cell Lung Cancer,Satraplatin in combination with Paclitaxel
NCT00317200,A Study of Paclitaxel Plus Bevacizumab in Patients With Chemosensitive Relapsed Small Cell Lung Cancer,"Improvements in therapy for relapsed SCLC are much needed. Paclitaxel has been previously tested and found to have significant single agent activity in relapsed SCLC, including in refractory patients. Angiogenesis plays an important role in SCLC, increased VEGF levels are associated with worse outcomes. Bevacizumab, a monoclonal antibody to VEGF, increase response rates and survival when combined with chemotherapy agents compared with the chemotherapy agent alone in NSCLC, breast cancer, and colorectal cancer. Paclitaxel plus bevacizumab, in the dose and schedule proposed in this study, improves response rates and progression free survival compared with paclitaxel alone in women with metastatic breast cancer. Therefore, we will be testing the safety, feasibility, and efficacy of this regimen in patients with chemosensitive relapsed SCLC.","OUTLINE: This is a multi center study. Paclitaxel 90 mg,m2 IV infusion over 1 hour days 1, 8 and 15 of 28 day cycle Plus Bevacizumab 10 mg,kg on days 1 and 15 of 28 day cycle. 1 cycle = 28 days (4 weeks). Disease assessments will be performed per RECIST every other cycle. After a minimum of 4 cycles or a maximum of 6 cycles of combination chemotherapy, bevacizumab monotherapy may continue until disease progression or intolerable side effects ECOG Performance Status 0 or 1 Hematopoietic: White blood cell count > 3,000 mm3. Absolute neutrophil count (ANC) > 1,500 mm3. Platelet count > 100,000 mm3. International normalized ration (INR) of prothrombin time ≤ 1.2. PTT no more than 5 seconds longer than the ULN Hepatic: Bilirubin < 1.5 x ULN. Aspartate aminotransferase (AST, SGOT) < 2.5 x ULN Renal: Urine protein:creatinine ratio <1.0 Cardiovascular: No history of myocardial infarction or angina pectoris,anginal equivalent in the last 6 months. Note: The patient may be on anti anginal medications if the symptoms have been entirely controlled for greater than 6 months.. No history of uncontrolled congestive heart failure or uncontrolled hypertension",Completed,All,18 Years,,,18 months,Non Randomized,Single Group Assignment,Treatment,Small Cell Lung Cancer,"Paclitaxel, Bevacizumab"
NCT00005646,Paclitaxel in Treating Patients With Extensive Stage Small Cell Lung Cancer,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of paclitaxel in treating patients who have extensive stage small cell lung cancer.,"OBJECTIVES: I. Determine the complete and overall response rate to paclitaxel in patients with previously untreated extensive stage small cell lung cancer. II. Determine the overall and progression free survival of these patients in response to this treatment regimen. III. Determine the toxicity of this treatment regimen in this patient population. OUTLINE: This is a multicenter study. Patients receive paclitaxel IV over 3 hours weekly for 6 consecutive weeks. Treatment continues every 8 weeks for 4 courses in the absence of disease progression or unacceptable toxicity. Patients are followed every 2 months for 1 year, then every 3 months for 2 years, and then annually for 2 years.",Completed,All,18 Years,120 Years,extensive stage small cell lung cancer,1 year post treatment,Non Randomized,Single Group Assignment,Treatment,Lung Cancer,paclitaxel
NCT00062010,"Interferon Alfa, Isotretinoin, and Paclitaxel in Treating Patients With Recurrent Small Cell Lung Cancer","RATIONALE: Drugs used in chemotherapy, such as paclitaxel, work in different ways to stop tumor cells from dividing so they stop growing or die. Some tumors become resistant to chemotherapy drugs. Giving interferon alfa and isotretinoin together with paclitaxel may reduce resistance to the drug and allow the tumor cells to be killed. PURPOSE: This phase II trial is studying how well giving interferon alfa and isotretinoin together with paclitaxel works in treating patients with recurrent small cell lung cancer.","OBJECTIVES: Determine the frequency and duration of response in patients with recurrent small cell lung cancer treated with interferon alfa, isotretinoin, and paclitaxel.. Determine the toxic effects of this regimen in these patients.. Determine the duration of survival in patients treated with this regimen.. Correlate the levels of bcl 2 in peripheral blood monocytes with response and survival in patients treated with this regimen. OUTLINE: This is a multicenter study. Patients receive interferon alfa subcutaneously and oral isotretinoin on days 1 and 2 and paclitaxel IV over 1 hour on day 2 of weeks 1 6. Courses repeat every 8 weeks in the absence of disease progression or unacceptable toxicity. Patients are followed every 3 months for 2 years and then every 6 months for 1 year. PROJECTED ACCRUAL: A total of 37 83 patients will be accrued for this study.",Completed,All,18 Years,,recurrent small cell lung cancer,Assessed every 6 weeks,,Single Group Assignment,Treatment,Lung Cancer,"interferon alpha, 13 cis retinoic acid, paclitaxel"
NCT01057342,"Paclitaxel, Carboplatin, and Dimethylxanthenone Acetic Acid in Treating Patients With Extensive Stage Small Cell Lung Cancer","RATIONALE: Drugs used in chemotherapy, such as paclitaxel and carboplatin, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Dimethylxanthenone acetic acid may stop the growth of small cell lung cancer by blocking blood flow to the tumor. Giving paclitaxel and carboplatin together with dimethylxanthenone acetic acid may kill more tumor cells. PURPOSE: This phase II trial is studying the side effects of giving paclitaxel and carboplatin together with dimethylxanthenone acetic acid and to see how well they work in treating patients with extensive stage small cell lung cancer.","OBJECTIVES: Primary To assess the 24 week (6 months) progression free survival of patients with extensive stage small cell lung cancer treated with paclitaxel, carboplatin, and dimethylxanthenone acetic acid. Secondary To assess efficacy and safety of this regimen in these patients.. To evaluate predictive molecular markers for gene expression analyses, serum proteomics, and pharmacogenomics. (exploratory) OUTLINE: This is a multicenter study. Patients receive paclitaxel IV over 3 hours, carboplatin IV over 30 minutes, and dimethylxanthenone acetic acid IV over 20 minutes on day 1. Treatment repeats every 21 days for up to 6 courses in the absence of disease progression or unacceptable toxicity. Blood and tissue samples may be collected periodically for predictive molecular markers for gene expression analysis, plasma proteomics, and pharmacogenomics. After completion of study treatment, patients are followed every 6 months.",Completed,All,18 Years,,extensive stage small cell lung cancer,at 24 weeks (6 months),,Single Group Assignment,Treatment,Lung Cancer,"carboplatin, paclitaxel, vadimezan"
NCT00062179,Paclitaxel and Carboplatin With or Without Celecoxib Before Surgery in Treating Patients With Stage IIIA Non Small Cell Lung Cancer,"RATIONALE: Drugs used in chemotherapy such as paclitaxel and carboplatin use different ways to stop tumor cells from dividing so they stop growing or die. Celecoxib may increase the effectiveness of a chemotherapy drug by making tumor cells more sensitive to the drug, may stop the growth of tumor cells by stopping blood flow to the tumor, and,or may block the enzymes necessary for tumor cell growth. Giving combination chemotherapy with celecoxib before surgery may kill more tumor cells. PURPOSE: This randomized phase II trial is studying how well giving paclitaxel together with carboplatin followed by surgery works compared to giving paclitaxel together with carboplatin and celecoxib followed by surgery in treating patients with stage IIIA non small cell lung cancer.","OBJECTIVES: Compare the complete pathological response rate and,or minimal residual microscopic disease in patients with stage IIIA non small cell lung cancer treated with preoperative paclitaxel and carboplatin with vs without celecoxib.. Compare the clinical response rate in patients treated with these regimens.. Compare chemotherapy related toxicity in patients treated with these regimens.. Compare the time to progression, disease free survival, and overall survival of patients treated with these regimens. OUTLINE: This is a randomized, double blind, multicenter study. Patients are stratified according to use of aspirin for prior cardiovascular disease (yes vs no). Patients are randomized to 1 of 2 treatment arms. Arm I: Patients receive paclitaxel IV over 3 hours and carboplatin IV over 1 hour on days 1, 22, and 43. Patients also receive oral celecoxib twice daily beginning on day 1 and continuing until the morning of surgical resection.. Arm II: Patients receive paclitaxel and carboplatin as in arm I and an oral placebo twice daily beginning on day 1 and continuing until the morning of surgical resection. In both arms, patients undergo surgical resection and complete mediastinal lymph node dissection within 3 6 weeks after completion of chemotherapy. Patients resume oral celecoxib or placebo twice daily within 28 42 days after surgery and continue until 3 years from the date of randomization in the absence of disease progression or unacceptable toxicity. Patients are followed every 3 6 months. PROJECTED ACCRUAL: A total of 110 patients (55 per treatment arm) will be accrued for this study.",Completed,All,18 Years,,stage IIIA non small cell lung cancer,3 years,Randomized,Parallel Assignment,Treatment,Lung Cancer,"carboplatin, celecoxib, paclitaxel, Placebo"
NCT00687817,Study of Bavituximab Plus Paclitaxel and Carboplatin in Patients With Non Small Cell Lung Cancer,The primary objective of this study is to determine the overall response rate (complete response + partial response) to a combination of bavituximab plus carboplatin and paclitaxel in patients with previously untreated locally advanced or metastatic non small cell lung cancer.,,Completed,All,18 Years,,NSCLC,one year,,Single Group Assignment,Treatment,Non small Cell Lung Cancer,bavituximab plus paclitaxel and carboplatin
